document_id,block_id,block_type,chunk_id,text_chars,retrieval_text_chars,words_count,paragraphs_count,single_paragraph_oversized,max_chars_excess
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c004,1840,1852,278,2,False,40
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c005,2431,2443,358,2,False,631
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c006,2456,2468,364,2,False,656
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c007,1974,1986,294,2,False,174
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c009,2164,2176,317,2,False,364
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c010,2893,2905,437,2,False,1093
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c011,2114,2126,327,2,False,314
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c015,2132,2144,321,2,False,332
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c016,2100,2112,328,2,False,300
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c018,2556,2568,392,2,False,756
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c019,3156,3168,490,2,False,1356
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c020,2956,2968,436,2,False,1156
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c023,2317,2329,367,2,False,517
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c024,2594,2606,411,2,False,794
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c028,2433,2445,377,2,False,633
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c031,2119,2131,318,2,False,319
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c036,3129,3141,474,2,False,1329
BOE-A-1985-5392,preambulo,preambulo,BOE-A-1985-5392__preambulo__c037,3550,3562,542,2,False,1750
BOE-A-2006-13371,preambulo,preambulo,BOE-A-2006-13371__preambulo__c004,1834,1857,270,2,False,34
BOE-A-2006-13371,preambulo,preambulo,BOE-A-2006-13371__preambulo__c005,1876,1899,282,2,False,76
BOE-A-2006-13371,preambulo,preambulo,BOE-A-2006-13371__preambulo__c006,1950,1973,290,2,False,150
BOE-A-2006-13371,preambulo,preambulo,BOE-A-2006-13371__preambulo__c007,2791,2814,401,2,False,991
BOE-A-2006-13371,preambulo,preambulo,BOE-A-2006-13371__preambulo__c008,2694,2717,398,2,False,894
BOE-A-2006-13371,preambulo,preambulo,BOE-A-2006-13371__preambulo__c009,2171,2194,336,2,False,371
BOE-A-2006-13371,preambulo,preambulo,BOE-A-2006-13371__preambulo__c013,2114,2137,313,2,False,314
BOE-A-2013-12887,preambulo,preambulo,BOE-A-2013-12887__preambulo__c004,2307,2320,346,2,False,507
BOE-A-2013-12887,preambulo,preambulo,BOE-A-2013-12887__preambulo__c005,1903,1916,293,2,False,103
BOE-A-2013-12887,preambulo,preambulo,BOE-A-2013-12887__preambulo__c007,1940,1953,311,2,False,140
BOE-A-2013-12887,preambulo,preambulo,BOE-A-2013-12887__preambulo__c010,2274,2287,339,2,False,474
BOE-A-2013-12887,preambulo,preambulo,BOE-A-2013-12887__preambulo__c011,2362,2375,346,2,False,562
BOE-A-2013-12887,preambulo,preambulo,BOE-A-2013-12887__preambulo__c013,2053,2066,333,2,False,253
BOE-A-2015-10565,preambulo,preambulo,BOE-A-2015-10565__preambulo__c010,1817,1830,289,2,False,17
BOE-A-2015-10565,preambulo,preambulo,BOE-A-2015-10565__preambulo__c016,2167,2180,316,2,False,367
BOE-A-2015-10565,preambulo,preambulo,BOE-A-2015-10565__preambulo__c017,2387,2400,346,2,False,587
BOE-A-2015-10565,preambulo,preambulo,BOE-A-2015-10565__preambulo__c018,2168,2181,325,2,False,368
BOE-A-2015-10565,preambulo,preambulo,BOE-A-2015-10565__preambulo__c027,1922,1935,284,2,False,122
